ingest_run_id,ingested_at,source_dataset,source_path,source_rel_path,file_name,file_extension,file_size_bytes,file_modified_at,file_checksum_sha256
20260317T194704Z,2026-03-17T19:47:04Z,bus_delay,/Users/om-college/Work/2 Canada/York/Winter26/DataViz/Project/datasets/02_bus_delay/csv/ttc-bus-delay-data-2015__11_Nov_2015.csv,datasets/02_bus_delay/csv/ttc-bus-delay-data-2015__11_Nov_2015.csv,ttc-bus-delay-data-2015__11_Nov_2015.csv,.csv,482679,2026-03-09T00:49:41Z,584e3912b5e6094b72190c470807c4bbb3d04f581d319992c14500f2323126e3
20260317T194704Z,2026-03-17T19:47:04Z,bus_delay,/Users/om-college/Work/2 Canada/York/Winter26/DataViz/Project/datasets/02_bus_delay/csv/ttc-bus-delay-data-2015__12_Dec_2015.csv,datasets/02_bus_delay/csv/ttc-bus-delay-data-2015__12_Dec_2015.csv,ttc-bus-delay-data-2015__12_Dec_2015.csv,.csv,443767,2026-03-09T00:49:42Z,9995a12b224dbc5548eaa1d3724d6f873bf7ca9209cc73926e18a61c3b6d9023
20260317T194704Z,2026-03-17T19:47:04Z,bus_delay,/Users/om-college/Work/2 Canada/York/Winter26/DataViz/Project/datasets/02_bus_delay/csv/ttc-bus-delay-data-2016__01_Jan_2016.csv,datasets/02_bus_delay/csv/ttc-bus-delay-data-2016__01_Jan_2016.csv,ttc-bus-delay-data-2016__01_Jan_2016.csv,.csv,425554,2026-03-09T00:49:42Z,14e6cc619a463328ebe97fc5a28f186306f1c7b14febd2bd59626a9cf6a5474b
20260317T194704Z,2026-03-17T19:47:04Z,bus_delay,/Users/om-college/Work/2 Canada/York/Winter26/DataViz/Project/datasets/02_bus_delay/csv/ttc-bus-delay-data-2016__02_Feb_2016.csv,datasets/02_bus_delay/csv/ttc-bus-delay-data-2016__02_Feb_2016.csv,ttc-bus-delay-data-2016__02_Feb_2016.csv,.csv,429193,2026-03-09T00:49:43Z,2a3ba205f7354e307633249b73c795e08f15afcc818b557c377a5b82f690f2f5
20260317T194704Z,2026-03-17T19:47:04Z,bus_delay,/Users/om-college/Work/2 Canada/York/Winter26/DataViz/Project/datasets/02_bus_delay/csv/ttc-bus-delay-data-2016__03_Mar_2016.csv,datasets/02_bus_delay/csv/ttc-bus-delay-data-2016__03_Mar_2016.csv,ttc-bus-delay-data-2016__03_Mar_2016.csv,.csv,497286,2026-03-09T00:49:43Z,7e87f00a80c73027b5f8964b1596ec33ac8a4784671dc6f57505bef0fec6e848
20260317T194704Z,2026-03-17T19:47:04Z,bus_delay,/Users/om-college/Work/2 Canada/York/Winter26/DataViz/Project/datasets/02_bus_delay/csv/ttc-bus-delay-data-2016__04_Apr_2016.csv,datasets/02_bus_delay/csv/ttc-bus-delay-data-2016__04_Apr_2016.csv,ttc-bus-delay-data-2016__04_Apr_2016.csv,.csv,463099,2026-03-09T00:49:44Z,832c769f550897d0813325a726a6a4908e538677609362e17c40089cb91320ad
20260317T194704Z,2026-03-17T19:47:04Z,bus_delay,/Users/om-college/Work/2 Canada/York/Winter26/DataViz/Project/datasets/02_bus_delay/csv/ttc-bus-delay-data-2016__05_May_2016.csv,datasets/02_bus_delay/csv/ttc-bus-delay-data-2016__05_May_2016.csv,ttc-bus-delay-data-2016__05_May_2016.csv,.csv,497350,2026-03-09T00:49:44Z,114ebefc55e65feeb11c64e25c5d946e7edce3659ce9bc2c62b5b9d8c37f8c87
20260317T194704Z,2026-03-17T19:47:04Z,bus_delay,/Users/om-college/Work/2 Canada/York/Winter26/DataViz/Project/datasets/02_bus_delay/csv/ttc-bus-delay-data-2016__06_Jun_2016.csv,datasets/02_bus_delay/csv/ttc-bus-delay-data-2016__06_Jun_2016.csv,ttc-bus-delay-data-2016__06_Jun_2016.csv,.csv,498254,2026-03-09T00:49:45Z,934037f1e4e5da8ee555194cd5beee4ebb80b4b91e027abe21ec8af8b8b559c2
20260317T194704Z,2026-03-17T19:47:04Z,bus_delay,/Users/om-college/Work/2 Canada/York/Winter26/DataViz/Project/datasets/02_bus_delay/csv/ttc-bus-delay-data-2016__07_July_2016.csv,datasets/02_bus_delay/csv/ttc-bus-delay-data-2016__07_July_2016.csv,ttc-bus-delay-data-2016__07_July_2016.csv,.csv,547976,2026-03-09T00:49:45Z,ba3df101f688eb5d3773cdcfb1b2e6b410a419beb84ceef94dd6b09c56271389
20260317T194704Z,2026-03-17T19:47:04Z,bus_delay,/Users/om-college/Work/2 Canada/York/Winter26/DataViz/Project/datasets/02_bus_delay/csv/ttc-bus-delay-data-2016__08_Aug_2016.csv,datasets/02_bus_delay/csv/ttc-bus-delay-data-2016__08_Aug_2016.csv,ttc-bus-delay-data-2016__08_Aug_2016.csv,.csv,521404,2026-03-09T00:49:46Z,4872b37cfe0ba0a41d13ee9592d9a914dd09420a62cf0177f075c368677c9225
